section,offence,description
141,Imprisonment in default of security,"(1) ( a) If any person ordered to give security under section 125 or section 136 does not give such security on or before the date on which the period for which such security is to be given commences, he shall, except in the case next hereinafter mentioned, be committed to prison, or, if he is already in prison, be detained in prison until such period expires or until within such period he gives the security to the Court or Magistrate who made the order requiring it; (b) if any person after having executed a bond or bail bond for keeping the peace in pursuance of an order of a Magistrate under section 136, is proved, t o the satisfaction of such Magistrate or his successor- in-office, to have committed breach of the bond or bail bond, such Magistrate or successor-in-office may, after recording the grounds of such proof, order that the person be arrested and detained in prison until the expiry of the period of the bond or bail bond and such order shall be without prejudice to any other punishment or forfeiture to which the said person may be liable in accordance with law. (2) When such person has been ordered by a Magistrat e to give security for a period exceeding one year, such Magistrate shall, if such person does not give such security as aforesaid, issue a warrant directing him to be detained in prison pending the orders of the Sessions Judge and the proceedings shall be laid, as soon as conveniently may be, before such Court."
142,Power to release persons imprisoned for failing to give security,"(1) Whenever the District Magistrate in the case of an order passed by an Executive Magistrate under section 136, or the Chief Judicial Magistrate in any other case is of opinion that any person imprisoned for failing to give security under this Chapter may be released without hazard to the community or to any other person, he may order such person to be discharged. (2) Whenever any person has been imprisoned for failing to give security under this Chapter, the High Court or Court of Session, or, where the order was made by any other Court, District Magistrate, in the case of an order passed by an Executive Magistrate under section 136, or the Chief Judicial Magistrate in any other case, may make an order reducing the amount of the security or the number of sureties or the time for which security has been required. (3) An order under sub-section (1) may direct the discharge of such person either without conditions or upon any conditions which such person accepts: Provided that any condition imposed shall cease to be operative when the period for which such person was ordered to give security has expired. (4) The State Government may prescribe, by rules, the conditions upon which a conditional discharge may be made. (5) If any condition upon which any person has been discharged is, in the opinion of District Magistrate, in the case of an order passed by an Executive Magistrate under section 136, or the Chief Judicial Magistrate in any other case by whom the order of discharge was made or of his successor, not fulfilled, he may cancel the same."
143,Security for unexpired period of bond,"(1) When a person for whose appearance a summons or warrant has been issued under the proviso to sub-section (3) of section 140 or under sub-section (10) of section 142, appears or is brought before the Magistrate or Court, the Magistrate or Court shall cancel the bond or bail bond executed by such person and shall order such person to give, for the unexpired portion of the term of such bond, fresh security of the same description as the original security. (2) Every such order shall, for the purposes of sections 139 to 142 (both inclusive) be deemed to be an order made under section 125 or section 136, as the case may be. ORDER FOR MAINTENANCE OF WIVES, CHILDREN AND PARENTS"
144,"Order for maintenance of wives, children and parents","(1) If any person having sufficient means neglects or refuses to maintain— (a) his wife, unable to maintain herself; or (b) his legitimate or illegitimate child, whether married or not, unable to maintain itself; or (c) his legitimate or illegitimate child (not being a married daughter) who has attained majority, where such child is, by reason of any physical or mental abnormality or injury unable to maintain itself; or (d) his father or mother, unable to maintain himself or herself, a Magistrate of the first class may, upon proof of such neglect or refusal, order such person to make a monthly allowance for the maintenance of his wife or such child, father or mother, at such monthly rate as such Magistrate thinks fit and to pay the same to such person as the Magistrate may from time to time direct: Provided that the Magistrate may order t he father of a female child referred to in clause (b) to make such allowance, until she attains her majority, if the Magistrate is satisfied that the husband of such female child, if married, is not possessed of sufficient means: Provided further that the Magistrate may, during the pendency of the proceeding regarding monthly allowance for the maintenance under this sub-section, order such person to make a monthly allowance for the interim maintenance of his wife or such child, father or mother, and the expenses of such proceeding which the Magistrate considers reasonable, and to pay the same to such person as the Magistrate may from time to time direct: Provided also that an application for the monthly allowance for the interim maintenanc"
145,Procedure,"(1) Proceedings under section 144 may be taken against any person in any district— (a) where he is; or (b) where he or his wife resides; or (c) where he last resided with his wife, or as the case may be, with the mother of the illegitimate child; or (d) where his father or mother resides. (2) All evidence in such proceedings shall be taken in the presence of the person against whom an order for payment of maintenance is proposed to be made, or, when his personal attendance is dispensed with, in the presence of his advocate, and shall be recorded in the manner prescribed for summons-cases: Provided that if the Magistrate is satisfied that the person against whom an order for payment of maintenance is proposed to be made is wilfully avoiding service, or willfully neglecting to attend the Court, the Magistrate may proceed to hear and determine the case ex parte and any order so made may be set aside for good cause shown on an application made within three months from the date thereof subject to such terms including terms as to payment of costs to the opposite party as the Magistrate may think just and proper. (3) The Court in dealing with applications under section 144 shall have power to make such order as to costs as may be just."
146,Alteration in allowance,"(1) On proof of a change in the circumstances of any person, receiving, under section 144 a monthly allowance for the maintenance or interim maintenance, or ordered under the same section to pay a monthly allowance for the maintenance, or interim maintenance, to his wife, child, father or mother, as the case may be, the Magistrate may make such alteration, as he thinks fit, in the allowance for the maintenance or the interim maintenance, as the case may be. (2) Where it appears to the Magistrate that in consequence of any decision of a competent Civil Court, any order made under section 144 should be cancelled or varied, he shall cancel the order or, as the case may be, vary the same accordingly. (3) Where any order has been made under section 144 in favour of a woman who has been divorced by, or has obtained a divorce from, her husband, the Magistrate shall, if he is satisfied that— (a) the woman has, after the date of such divorce, remarried, cancel such order as from the date of her remarriage; (b) the woman has been divorced by her husband and that she has received, whether before or after the date of the said order, the whole of the sum which, under any customary or personal law applicable to the parties, was payable on such divorce, cancel such order,— (i) in the case where such sum was paid before such order, from the date on which such order was made; (ii) in any other case, from the date of expiry of the period, if any, for which maintenance has been actually paid by the husband to the woman; (c) the woman has obtained a divorce from her hus band and that she had v"
147,Enforcement of order of maintenance,"A copy of the order of maintenance or interim maintenance and expenses of proceedings, as the case may be, shall be given without payment to the person in whose favour it is made, or to his guardian, if any, or to the person to whom the allowance for the maintenance or the allowance for the interim maintenance and expenses of proceeding, as the case may be, is to be paid; and such order may be enforced by any Magistrate in any place where the person against whom it is made may be, on such Magistrate being satisfied as to the identity of the parties and the non-payment of the allowance, or as the case may be, expenses, due. MAINTENANCE OF PUBLIC ORDER AND TRANQUILLITY A.—Unlawful assemblies"
148,Dispersal of assembly by use of civil force,"(1) Any Executive Magistrate or officer in charge of a police station or, in the absence of such officer in charge, any police officer, not below the rank of a sub-inspector, may command any unlawful assembly, or any assembly of five or more persons likely to cause a disturbance of the public peace, to disperse; and it shall thereupon be the duty of the members of such assembly to disperse accordingly. (2) If, upon being so commanded, any such assembly does not disperse, or if, without being so commanded, it conducts itself in such a manner as to show a determination not to disperse, any Executive Magistrate or police officer referred to in sub-section (1), may proceed to disperse such assembly by force, and may require the assistance of any person, not being an officer or member of the armed forces and acting as such, for the purpose of dispersing such assembly, and, if necessary, arresting and confining the persons who form part of it, in order to disperse such assembly or that they may be punished according to law."
149,Use of armed forces to disperse assembly,"(1) If any assembly referred to in sub-section (1) of section 148 cannot otherwise be dispersed, and it is necessary for the public security that it should be dispersed, the District Magistrate or any other Executive Magistrate authorised by him, who is present, may cause it to be dispersed by the armed forces. (2) Such Magistrate may require any officer in command of any group of persons belonging to the armed forces to disperse the assembly with the help of the armed forces under his command, and to arrest and confine such persons forming part of it as the Executive Magistrate may direct, or as it may be necessary to arrest and confine in order to disperse the assembly or to have them punished according to law. (3) Every such officer of the armed forces shall o bey such requisition in such manner as he thinks fit, but in so doing he shall use as little force, and do as little injury to person and property, as may be consistent with dispersing the assembly and arresting and detaining such persons."
150,Power of ce rtain armed force officers to disperse assembly,"When the public security is manifestly endangered by any such assembly and no Executive Magistrate can be communicated with, any commissioned or gazetted officer of the armed forces may disperse such assembl y with the help of the armed forces under his command, and may arrest and confine any persons forming part of it, in order to disperse such assembly or that they may be punished according to law; but if, while he is acting under this section, it becomes practicable for him to communicate with an Executive Magistrate, he shall do so, and shall thenceforward obey the instructions of the Magistrate, as to whether he shall or shall not continue such action."
151,"Protection against prosecution for acts done unde r sections 148, 149 and 150","(1) No prosecution against any person for any act purporting to be done under section 148, section 149 or section 150 shall be instituted in any Criminal Court except— (a) with the sanction of the Central Government where such person is an officer or member of the armed forces; (b) with the sanction of the State Government in any other case. (2) (a) No Executive Magistrate or police officer acting under any of the said sections in good faith; (b) no person doing any act in good faith in compliance with a requisition under section 148 or section 149; (c) no officer of the armed forces acting under section 150 in good faith; (d) no member of the armed forces doing any act in obedience to any o rder which he was bound to obey, shall be deemed to have thereby committed an offence. (3) In this section and in the preceding sections of this Chapter,— (a) the expression “armed forces” means the army, naval and air forces, operating as land forces and includes any other armed forces of the Union so operating; (b) “officer”, in relation to the armed forces, means a person commissioned, gazetted or in pay as an officer of the armed forces and includes a junior commissioned officer, a warrant officer, a p etty officer, a non-commissioned officer and a non-gazetted officer; (c) “member”, in relation to the armed forces, means a person in the armed forces other than an officer. B.—Public nuisances"
152,Conditional order for removal of nuisance,"(1) Whenever a District Magistrate or a Sub-divisional Magistrate or any other Executive Magistrate specially empowered in this behalf by the State Government, on receiving the report of a police officer or other information and on tak ing such evidence (if any) as he thinks fit, considers— (a) that any unlawful obstruction or nuisance should be removed from any public place or from any way, river or channel which is or may be lawfully used by the public; or (b) that the conduct of any t rade or occupation, or the keeping of any goods or merchandise, is injurious to the health or physical comfort of the community, and that in consequence such trade or occupation should be prohibited or regulated or such goods or merchandise should be removed or the keeping thereof regulated; or (c) that the construction of any building, or, the disposal of any substance, as is likely to occasion conflagration or explosion, should be prevented or stopped; or (d) that any building, tent or structure, or any tree is in such a condition that it is likely to fall and thereby cause injury to persons living or carrying on business in the neighbourhood or passing by, and that in consequence the removal, repair or support of such building, tent or structure, or the removal or support of such tree, is necessary; or (e) that any tank, well or excavation adjacent to any such way or public place should be fenced in such manner as to prevent danger arising to the public; or (f) that any dangerous animal should be destroyed, confined or otherwise disposed of, such Magistrate may make a conditional order r"
153,Service or notification of order,"(1) The order shall, if practicable, be served on the person against whom it is made, in the manner herein provided for service of summons. (2) If such order cannot be so served, it shall be notified by proclamation published in such manner as the State Government may, by rules, direct, and a copy thereof shall be stuck up at such place or places as may be fittest for conveying the information to such person."
154,Person to whom order is addressed to obey or show cause,"The person against whom such order is made shall— (a) perform, within the time and in the manner specified in the order, the act directed thereby; or (b) appear in accordance with such order and show cause against the same; and such appearance or hearing may be permitted through audio-video conferencing."
155,Penalty for failure to comply with section 154,"If the person against whom an order is made under section 154 does not perform such act or appear and show cause, he shall be liable to the penalty specified in that behalf in section 223 of the Bharatiya Nyaya Sanhita, 2023, and the order shall be made absolute."
156,Procedure where existence of public right is denied,"(1) Where an order is made under section 152 for the purpose of preventing obstruction, nuisance or danger to the public in the use of any way, river, channel or place, the Magistrate shall, on the appearance before him of the person against whom the order was made, question him as to whether he denies the existence of any public right in respect of the way, river, channel or place, and if he does so, the Magistrate shall, before proceeding under section 157, inquire into the matter. (2) If in such inquiry the Magistrate finds that there is any reliable evidence in support of such denial, he shall stay the proceedings until the matter of the existence of such right has been decided by a competent Court; and, if he finds that there is no such evidence, he shall proceed as laid down in section 157. (3) A person who has, on being questioned by the Magistrate under sub-section (1), failed to deny the existence of a public right of the nature therein referred to, or who, having made such denial, has failed to adduce reliable evidence in support thereof, shall not in the subsequent proceedings be permitted to make any such denial."
157,Procedure where person against whom order is made under section 152 appears to show cause,"(1) If the person against whom an order under section 152 is made appears and shows cause against the order, the Magistrate shall take evidence in the matter as in a summons-case. (2) If the Magistrate is satisfied that the order, either as originally made or subject to such modification as he considers necessary, is reasonable and proper, the order shall be made absolute without modification or, as the case may be, with such modification. (3) If the Magistrate is not so satisfied, no further proceedings shall be taken in the case: Provided that the proceedings under this section shall be completed, as soon as possible, within a period of ninety days, which may be extended for the reasons to be recorded in writing, to one hundred and twenty days."
158,Power of Magistrate to direct local investigation and examination of an expert,"The Magistrate may, for the purposes of an inquiry under section 156 or section 157— (a) direct a local investigation to be made by such person as he thinks fit; or (b) summon and examine an expert."
159,"Power of Magistrate to furnish written instructions, etc","(1) Where the Magistrate directs a local investigation by any person under section 158, the Magistrate may— (a) furnish such person with such written instructions as may seem necessary for his guidance; (b) declare by whom the whole or any part of the necessary expenses of the local investigation shall be paid. (2) The report of such person may be read as evidence in the case. (3) Where the Magistrate summons and examines an expert under section 158, the Magistrate may direct by whom the costs of such summoning and examination shall be paid."
160,Procedure on order being made absolute and consequences of disobedience,"(1) When an order has been made absolute under section 155 or section 157, the Magistrate shall give notice of the same to the person against whom the order was made, and shall further require him to perform the act direc ted by the order within the time to be fixed in the notice, and inform him that, in case of disobedience, he shall be liable to the penalty provided by section 223 of the Bharatiya Nyaya Sanhita, 2023. (2) If such act is not performed within the time fixed, the Magistrate may cause it to be performed, and may recover the costs of performing it, either by the sale of any building, goods or other property removed by his order, or by the distress and sale of any other movable property of such person within or without such Magistrate's local jurisdiction, and if such other property is without such jurisdiction, the order shall authorise its attachment and sale when endorsed by the Magistrate within whose local jurisdiction the property to be attached is found. (3) No suit shall lie in respect of anything done in good faith under this section."
161,Injunction pending inquiry,"(1) If a Magistrate making an order under section 152 considers that immediate measures should be taken to prevent imminent danger or injury of a serious kind to the public, he may issue such an injunction to the person against whom the order was made, as is required to obviate or prevent such danger or injury pending the determination of the matter. (2) In default of such person forthwith obe ying such injunction, the Magistrate may himself use, or cause to be used, such means as he thinks fit to obviate such danger or to prevent such injury. (3) No suit shall lie in respect of anything done in good faith by a Magistrate under this section."
162,Magistrate may prohibit repetition or Continuance of public nuisance,"A District Magistrate or Sub -divisional Magistrate, or any other Executive Magistrate or Deputy Commissioner of Police empowered by the State Government or the District Magistrate in this behalf, may order any person not to repeat or continue a public nuisance, as defined in the Bharatiya Nyaya Sanhita, 2023, or any special or local law. C.—Urgent cases of nuisance or apprehended danger"
163,Power to issue order in urgent cases of nuisance or apprehended danger,"(1) In cases where, in the opinion of a District Magistrate, a Sub -divisional Magistrate or any other Executive Magistrate specially empowered by the State Government in this behalf, there is sufficient ground for proceeding under this section and immediate prevention or speedy remedy is desirable, such Magistrate may, by a written order stating the material facts of the case and served in the manner provided by section 153, direct any person to abstain from a certain act or to take certain order with respect to certain property in his possession or under his management, if such Magistrate considers that such direction is likely to prevent, or tends to prevent, obstruction, annoyance or injury to any person lawfully employed, or danger to human life, health or safety or a disturbance of the public tranquillity, or a riot, or an affray. (2) An order under this section may, in cases of emergency or in cases where the circumstances do not admit of the serving in due time of a notice upon the person against whom the order is directed, be passed ex parte. (3) An order under this section may be directed to a particular individual, or to persons residing in a particular place or area, or to the public generally when frequenting or visiting a particular place or area."
164,Procedure where dispute concerning land or water is likely to cause breach of peace,"(1) Whenever an Executive Magistrate is satisfied from a report of a police officer or upon other information that a dispute likely to cause a breach of the peace exists concerning any land or water or the boundaries thereof, within his local jurisdiction, he shall make an order in writing, stating the grounds of his being so satisfied, and requiring the parties concerned in such dispute to at tend his Court in person or by an advocate on aspecified date and time, and to put in written statements of their respective claims as respects the fact of actual possession of the subject of dispute. (2) For the purposes of this section, the expression “land or water ” includes buildings, markets, fisheries, crops or other produce of land, and the rents or profits of any such property. (3) A copy of the order shall be served in the manner provided by this Sanhita for the service of summons upon such person or persons as the Magistrate may direct, and at least one copy shall be published by being affixed to some conspicuous place at or near the subject of dispute."
165,Power to attach subject of dispute and to appoint receiver,"(1) If the Magistrate at any time after making the order under sub-section (1) of section 164 considers the case to be one of emergency, or if he decides that none of the parties was then in such possession as is referred to in section 164, or if he is unable to satisfy himself as to which of them was then in such possession of the subject of dispute, he may attach the subject of dispute until a competent Court has determined t he rights of the parties thereto with regard to the person entitled to the possession thereof: Provided that such Magistrate may withdraw the attachment at any time if he is satisfied that there is no longer any likelihood of breach of the peace with regard to the subject of dispute. (2) When the Magistrate attaches the subject of dispute, he may, if no receiver in relation to such subject of dispute has been appointed by any Civil Court, make such arrangements as he considers proper for looking after the property or if he thinks fit, appoint a receiver thereof, who shall have, subject to the control of the Magistrate, all the powers of a receiver appointed under the Code of Civil Procedure, 1908 (5 of 1908): Provided that in the event of a receiver being subsequently appointed in relation to the subject of dispute by any Civil Court, the Magistrate— (a) shall order the receiver appointed by him to hand over the possession of the subject of dispute to the receiver appointed by the Civil Court and shall therea fter discharge the receiver appointed by him; (b) may make such other incidental or consequential orders as may be just."
166,Dispute concerning right of use of land or water,"(1) Whenever an Executive Magistrate is satisfied from the report of a police officer or upon other information, that a dispute likely to cause a breach of the peace exists regarding any alleged right of user of any land or water within his local jurisdiction, whether such right be claimed as an easement or otherwise, he shall make a n order in writing, stating the grounds of his being so satisfied and requiring the parties concerned in such dispute to attend his Court in person or by an advocate on a specified date and time and to put in written statements of their respective claims. Explanation.—For the purposes of this sub -section, the expression ""land or water"" has the meaning given to it in sub-section (2) of section 164. (2) The Magistrate shall peruse the statements so put in, hear the parties, receive all such evidence as may be produced by them respectively, consider the effect of such evidence, take such further evidence, if any, as he thinks necessary and, if possible, decide whether such right exists; and the provisions of section 164 shall, so far as may be, apply in the case of such inquiry."
167,Local inquiry,"(1) Whenever a local inquiry is necessary for the purposes of section 164, section 165 or section 166, a District Magistrate or Sub -divisional Magi strate may depute any Magistrate subordinate to him to make the inquiry, and may furnish him with such written instructions as may seem necessary for his guidance, and may declare by whom the whole or any part of the necessary expenses of the inquiry shall be paid. (2) The report of the person so deputed may be read as evidence in the case. (3) When any costs have been incurred by any party to a proceeding under section 164, section 165 or section 166, the Magistrate passing a decision may direct by whom su ch costs shall be paid, whether by such party or by any other party to the proceeding, and whether in whole or in part or proportion and such costs may include any expenses incurred in respect of witnesses and of advocates' fees, which the Court may consider reasonable. PREVENTIVE ACTION OF THE POLICE"
168,Police to prevent cognizable offences,"Every police officer may interpose for the purpose of preventing, and shall, to the best of his ability, prevent, the commission of any cognizable offence."
169,Information of design to commit cognizable offences,"Every police officer receiving information of a design to commit any cognizable offence shall communicate such information to the police officer to whom he is subordinate, and to any other officer whose duty it is to prevent or take cognizance of the commission of any such offence."
170,Arrest to prevent commission of cognizable offences,"(1) A police officer knowing of a design to commit any cognizable offence may arrest, without orders from a Magistrate and without a warrant, the person so designing, if it appears to such officer that the commission of the offence cannot be otherwise prevented. (2) No person arrested under sub -section ( 1) shall be detained in custody for a period exceeding twenty-four hours from the time of his arrest unless his further detention is required or authorised under any other provisions of this Sanhita or of any other law for the time being in force."
171,Prevention of injury to public property,"A police officer may of his own authority interpose to prevent any injury attempted to be committed in his view to any public property, movable or immovable, or the removal or injury of any public landmark, buoy or other mark used for navigation."
172,Persons bound to conform to lawful directions of police,"(1) All persons shall be bound to conform to the lawful directions of a police officer given in fulfilment of any of his duty under this Chapter. (2) A police officer may detain or remove any person resisting, refusing, ignoring or disregarding to conform to any direction given by him under sub -section (1) and may either take such person before a Magistrate or, in petty cases, release him as soon as possible within a period of twenty-four hours. INFORMATION TO THE POLICE AND THEIR POWERS TO INVESTIGATE"
173,Information in cognizable cases,"(1) Every information relating to the commission of a cognizable offence, irrespective of the area where the offence is committed, may be given orally or by electronic communication to an officer in charge of a police station, and if given— (i) orally, it shall be reduced to writing by him or under his direction, and be read over to the informant; and every such information, whether given in writi ng or reduced to writing as aforesaid, shall be signed by the person giving it; (ii) by electronic communication, it shall be taken on record by him on being signed within three days by the person giving it, and the substance thereof shall be entered in a book to be kept by such officer in such form as the State Government may by rules prescribe in this behalf: Provided that if the information is given by the woman against whom an offence under section 64, section 65, section 66, section 67, section 68, section 69, section 70, section 71, section 74, section 75, section 76, section 77, section 78, section 79 or section 124 of the Bharatiya Nyaya Sanhita, 2023 is alleged to have been committed or attempted, then such information shall be recorded, by a woman police officer or any woman officer: Provided further that— (a) in the event that the person against whom an offence under section 64, section 65, section 66, section 67, section 68, section 69, section 70, section 71, section 74, section 75, section 76, section 77, section 78, section 79 or section 124 of the Bharatiya Nyaya Sanhita, 2023 is alleged to have been committed or attempted, is temporarily or permanently mentally or"
174,Information as to non -cognizable cases and investigation of such cases,"(1) When information is given to an officer in charge of a police station of the commission within the limits of such station of a non-cognizable offence, he shall enter or cause to be entered the substance of the information in a book to be kept by such officer in such form as the State Government may by rules prescribe in this behalf, and,— (i) refer the informant to the Magistrate; (ii) forward the daily diary report of all such cases fortnightly to the Magistrate. (2) No police officer shall investigate a non -cognizable case without the order of a Magistrate having power to try such case or commit the case for trial. (3) Any police officer receiving such order may exercise the same powers in respect of the investigation (except the power to arrest without warrant) as an officer in charge of a pol ice station may exercise in a cognizable case. (4) Where a case relates to two or more offences of which at least one is cognizable, the case shall be deemed to be a cognizable case, notwithstanding that the other offences are non-cognizable."
175,Police officer’s power to investigate cognizable case,"(1) Any officer in charge of a police station may, without the order of a Magistrate, investigate any cognizable case which a Court having jurisdiction over the local area within the limits of such station wo uld have power to inquire into or try under the provisions of Chapter XIV: Provided that considering the nature and gravity of the offence, the Superintendent of Police may require the Deputy Superintendent of Police to investigate the case. (2) No proceeding of a police officer in any such case shall at any stage be called in question on the ground that the case was one which such officer was not empowered under this section to investigate. (3) Any Magistrate empowered under section 210 may, after considering the application supported by an affidavit made under sub-section (4) of section 173, and after making such inquiry as he thinks necessary and submission made in this regard by the police officer, order such an investigation as above-mentioned. (4) Any Magistrate empowered under section 210, may, upon receiving a complaint against a public servant arising in course of the discharge of his official duties, order investigation, subject to— (a) receiving a report containing facts and circumstances o f the incident from the officer superior to him; and (b) after consideration of the assertions made by the public servant as to the situation that led to the incident so alleged."
176,Procedure for investigation,"(1) If, from information received or otherwise, an officer in charge of a police station has reason to suspect the commission of an offence which he is empowered under section 175 to investigate, he shall forthwith send a report of the same to a Magistrate empowered to take cognizance of such offence upon a police report and shall proceed in person, or shall depute one of his subordinate officers not being below such rank as the State Government may, by general or special order, prescribe in this behalf, to proceed, to the spot, to investigate the facts and circumstances of the case, and, if necessary, to take measures for the discovery and arrest of the offender: Provided that— (a) when information as to the commission of any such offence is given against any person by name and the case is not of a serious nature, the officer in charge of a police station need not proceed in person or depute a subordinate officer to make an investigation on the spot; (b) if it appears to the officer in charge of a police station that there is no suf ficient ground for entering on an investigation, he shall not investigate the case: Provided further that in relation to an offence of rape, the recording of statement of the victim shall be conducted at the residence of the victim or in the place of her choice and as far as practicable by a woman police officer in the presence of her parents or guardian or near relatives or social worker of the locality and such statement may also be recorded through any audio-video electronic means including mobile phone."
177,Report how submitted,"(1) Every report sent to a Magistrate under section 176 shall, if the State Government so directs, be submitted through such superior officer of police as the State Government, by general or special order, appoints in that behalf. (2) Such superior officer may give such instructions to the officer in charge of the police station as he thinks fit, and shall, after recording such instructions on such report, transmit the same without delay to the Magistrate."
178,Power to hold investigation or preliminary inquir y,"The Magistrate, on receiving a report under section 176, may direct an investigation, or, if he thinks fit, at once proceed, or depute any Magistrate subordinate to him to proceed, to hold a preliminary inquiry into, or otherwise to dispose of, the case in the manner provided in this Sanhita."
179,Police officer's power to require attendance of witnesses,"(1) Any police officer making an investigation under this Chapter may, by order in writing, require the attendance before himself of any person being w ithin the limits of his own or any adjoining station who, from the information given or otherwise, appears to be acquainted with the facts and circumstances of the case; and such person shall attend as so required: Provided that no male person under the age of fifteen years or above the age of sixty years or a woman or a mentally or physically disabled person or a person with acute illness shall be required to attend at any place other than the place in which such person resides: Provided further that if su ch person is willing to attend at the police station, such person may be permitted so to do. (2) The State Government may, by rules made in this behalf, provide for the payment by the police officer of the reasonable expenses of every person, attending under sub-section (1) at any place other than his residence."
180,Examination of witnesses by police,"(1) Any police officer making an investigation under this Chapter, or any police officer not below such rank as the State Government may, by general or special order, prescribe in this behalf, acting on the requisition of such officer, may examine orally any person supposed to be acquainted with the facts and circumstances of the case. (2) Such person shall be bound to answer truly all questions relating to such case put to him by such officer, other than questions the answers to which would have a tendency to expose him to a criminal charge or to a penalty or forfeiture. (3) The police officer may reduce into writing any statement made to him in the cours e of an examination under this section; and if he does so, he shall make a separate and true record of the statement of each such person whose statement he records: Provided that statement made under this sub -section may also be recorded by audio -video electronic means: Provided further that the statement of a woman against whom an offence under section 64, section 65, section 66, section 67, section 68, section 69, section 70, section 71, section 74, section 75, section 76, section 77, section 78, section 79 or section 124 of the Bharatiya Nyaya Sanhita, 2023 is alleged to have been committed or attempted, shall be recorded, by a woman police officer or any woman officer."
181,Statements to police and use thereof,"(1) No statement made by any person to a police officer in the course of an investigation under this Chapter, shall, if reduced to writing, be signed by the person making it; nor shall any such statement or any record thereof, whether in a police diary or otherwise, or any part of such statement or record, be used for any purpose, save as hereinafter provided, at any inquiry or trial in respect of any offence under investigation at the time when such statement was made: Provided that when any witness is called for the prosecution in such inquiry or trial whose statement has been reduced into writing as aforesaid, any part of his statement, if duly proved, may be used by the accused, and with the permission of the Court, by the prosecution, to contradict such witness in the manner provided by section 148 of the Bharatiya Sakshya Adhiniyam, 2023; and when any part of such statement is so used, any part thereof may also be used in the re-examination of such witness, but for the purpose only of explaining any matter referred to in his cross-examination. (2) Nothing in this section shall be deemed to apply to any statement falling within the provisions of clause (a) of section 26 of the Bharatiya Sakshya Adhiniyam, 2023; or to affect the provisions of the proviso to sub-section (2) of section 23 of that Adhiniyam."
182,No inducement to be offered,"(1) No police officer or other p erson in authority shall offer or make, or cause to be offered or made, any such inducement, threat or promise as is mentioned in section 22 of the Bharatiya Sakshya Adhiniyam, 2023. (2) But no police officer or other person shall prevent, by any caution or otherwise, any person from making in the course of any investigation under this Chapter any statement which he may be disposed to make of his own free will: Provided that nothing in this sub-section shall affect the provisions of sub-section (4) of section 183."
183,Recording of confessions and statements,"(1) Any Magistrate of the District in which the information about commission of any offence has been registered, may, whether or not he has jurisdiction in the case, record any confession or statement made to him in the course of an investigation under this Chapter or under any other law for the time being in force, or at any time afterwards but before the commencement of the inquiry or trial: Provided that any confession or statement made under this sub-section may also be recorded by audio- video electronic means in the presence of the advocate of the person accused of an offence: Provided further that no confession shall be recorded by a police officer on whom any power of a Magistrate has been conferred under any law for the time being in force. (2) The Magistrate shall, before recording any such confession, explain to the person making it that he is not bound to make a confession and that, if he does so, it may be used as evid ence against him; and the Magistrate shall not record any such confession unless, upon questioning the person making it, he has reason to believe that it is being made voluntarily. (3) If at any time before the confession is recorded, the person appearing before the Magistrate states that he is not willing to make the confession, the Magistrate shall not authorise the detention of such person in police custody."
184,Medical examination of victim of rape,"(1) Where, during the stage when an offence of committing rape or attempt to commit rape is und er investigation, it is proposed to get the person of the woman with whom rape is alleged or attempted to have been committed or attempted, examined by a medical expert, such examination shall be conducted by a registered medical practitioner employed in a hospital run by the Government or a local authority and in the absence of such a practitioner, by any other registered medical practitioner, with the consent of such woman or of a person competent to give such consent o n her behalf and such woman shall be sent to such registered medical practitioner within twenty-four hours from the time of receiving the information relating to the commission of such offence. (2) The registered medical practitioner, to whom such woman is sent, shall, without delay, examine her person and prepare a report of his examination giving the following particulars, namely:— (i) the name and address of the woman and of the person by whom she was brought; (ii) the age of the woman; (iii) the description of material taken from the person of the woman for DNA profiling; (iv) marks of injury, if any, on the person of the woman; (v) general mental condition of the woman; and (vi) other material particulars in reasonable detail. (3) The report shall state precisely the reasons for each conclusion arrived at. (4) The report shall specifically record that the consent of the woman or of the person competent to give such consent on her behalf to such examination had been obtained."
185,Search by police officer,"(1) Whenever an officer in charge of a police station or a police officer making an investigation has reasonable grounds for believing that anything necessary for the purposes of an investigation into any offence which he is authorised to investigate may be found in any place within the limits of the police station of which he is in charge, or to which he is attached, and that such thing cannot in his opinion be otherwise obtained without undue delay, such officer may, after recording in writing the grounds of his belief in the case-diary and specifying in such writing, so far as possible, the thing for which search is to be made, search, or cause search to be made, for such thing in any place within the limits of such station. (2) A police officer proceeding under sub-section (1), shall, if practicable, conduct the search in person: Provided that the search conducted under this section shall be recorded through audio-video electronic means preferably by mobile phone. (3) If he is unable to conduct the search in person, and there is no other person competent to make the search present at the time, he may, after recording in writing his reasons for so doing, require any officer subordinate to him to make the search, and he shall deliver to such subordinate officer an order in writing, specifying the place to be searched, and so far as possible, the thing for which search is to be made; and such subordinate officer may thereupon search for such thing in such place."
